--- Trainig Metrics ---
Epoch [189/200], Train Loss: 0.0248, Train Accuracy: 100.00%, Val Loss: 0.0968, Val Accuracy: 97.66%
Epoch [190/200], Train Loss: 0.0245, Train Accuracy: 99.98%, Val Loss: 0.1060, Val Accuracy: 97.97%
Epoch [191/200], Train Loss: 0.0241, Train Accuracy: 100.00%, Val Loss: 0.0994, Val Accuracy: 98.12%
Epoch [192/200], Train Loss: 0.0255, Train Accuracy: 99.98%, Val Loss: 0.0942, Val Accuracy: 97.97%
Epoch [193/200], Train Loss: 0.0241, Train Accuracy: 99.98%, Val Loss: 0.1071, Val Accuracy: 97.50%
Epoch [194/200], Train Loss: 0.0254, Train Accuracy: 99.96%, Val Loss: 0.1078, Val Accuracy: 97.50%
Epoch [195/200], Train Loss: 0.0262, Train Accuracy: 99.93%, Val Loss: 0.1582, Val Accuracy: 95.62%
Epoch [196/200], Train Loss: 0.0288, Train Accuracy: 99.84%, Val Loss: 0.1552, Val Accuracy: 95.78%
Epoch [197/200], Train Loss: 0.0519, Train Accuracy: 99.04%, Val Loss: 0.1611, Val Accuracy: 94.53%
Epoch [198/200], Train Loss: 0.0435, Train Accuracy: 99.26%, Val Loss: 0.1342, Val Accuracy: 95.94%
Epoch [199/200], Train Loss: 0.0275, Train Accuracy: 99.87%, Val Loss: 0.1211, Val Accuracy: 95.78%
Epoch [200/200], Train Loss: 0.0282, Train Accuracy: 99.93%, Val Loss: 0.0780, Val Accuracy: 98.59%
